"WMLB e WMHT"," "
"WMML65","WMLP65","Station","Estação","Stations","Estações","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","station/models.py"
"WMML66","WMLP66","Station list","Lista de estações","Station lists","Listas de estações","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","station/models.py"
"WMML67","WMLP67","Station filter","Filtro de estações","Station filters","Filtros de estações","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","station/models.py"
"WMML68","WMLP68","Station decoder","Decodificador de estações","Station decoders","Decodificadores de estações","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","station/models.py"
"WMML69","WMLP69","Station ingest file","Arquivo de alimentação de estação","Station ingest files","Arquivos de alimentação de estação","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","station/models.py"
"WMML70","WMLP70","Station organization code","Código de estação da instituição","Station organization codes","Códigos de estação da instituição","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","station/models.py"
"WMML71","WMLP71","Station element","Elemento de estação","Station elements","Elementos de estação","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","station/models.py"
"WMML72","WMLP72","Reservoir operation","Operação de reservatório","Reservoir operations","Operações de reservatório","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","hydro/models.py"
"WMML73","WMLP73","Powerplant level production","Usina nível produção","Powerplants level production","Usinas nível produção","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","hydro/models.py"
"WMML74","WMLP74","Diagram","Diagrama","Diagrams","Diagramas","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","commons/models.py - class Diagram"
"WMML75","WMLP75","SVG type","Tipo de SVG","SVG types","Tipos de SVG","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","commons/models.py - class SVGType"
"WMML76","WMLP76","Stretch","Trecho","Stretches","Trechos","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","ampacity/models.py"
"WMML77","WMLP77","Transmission line","Linha de transmissão","Transmission lines","Linhas de transmissão","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","ampacity/models.py"
"WMML78","WMLP78","Cable","Cabo","Cables","Cabos","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","ampacity/models.py"
"WMML79","WMLP79","Voltage","Voltagem","Voltages","Votagens","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","ampacity/models.py"
"WMML80","WMLP80","Stretch parameter","Parâmetro do trecho","Stretches parameters","Parâmetros dos trechos","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","ampacity/models.py"
"WMML81","WMLP81","Operational limitation","Limitação operacional","Operational limitations","Limitações operacionais","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","ampacity/models.py"
"WMML82","WMLP82","Format element","Elemento de formato","Format elements","Elementos de formato","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural",""
"WMML83","WMLP83","Element filter","Filtro de elemento","Element filters","Filtros de elemento","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural",""
"WMML84","WMLP84","Operational region coordinates","Coordenadas da região de operação","Operational regions coordinates","Coordenadas das regiões de operação","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","hydro/models.py"
"WMML85","WMLP85","Operation region","Região de operação","Operational regions","Regiões de operação","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","hydro/models.py"
"WMML86","WMLP86","Operational diagram","Diagrama de operação","Operational diagrams","Diagramas de operação","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","hydro/models.py"
"WMGT e WMAT"," "
"Código WMGT","Código WMAT","WMGT EN","WMGT PT","WMAT EN","WMAT PT","Nome do Campo","Tipo do Campo","Contexto","Local de Uso"
"WMGT1","WMAT1","Historic","Histórico","","","historic","choices","Grafico utilizado para exibir séries de dados históricas","common/models.py (class Dashboard Component)"
"WMGT2","WMAT2","Realtime","Tempo real","","","realtime","choices","Gráfico utilizado para exibir dados em tempo real","common/models.py (class Dashboard Component)"
"WMGT3","WMAT3","Diagram","Diagrama","","","","HTML","Menu Diagrama do sistema","cemig/templates/cemig/content-diagram-sin.html e common/templates/common/content-diagram.html"
"WMGT4","WMAT4","Diagaram pages","Página de diagramas","","","","HTML","Página de diagramas","common/templates/common/content-diagram.html"
"WMGT5","WMAT5","Wind roses","Rosa dos ventos","","","","HTML","Texto do botão de gráficos 'Rosa dos ventos'","common/templates/common/content-chart.html"
"WMGT6","WMAT6","Wind rose chart","Gráfico rosa dos ventos","","","","HTML","Titulo da tela Gráfico de rosa dos ventos","station/templates/station/content-chart-stations-wind.html"
"WMGT7","WMAT7","Wind rose for station","Rosa dos ventos da estação","","","chart.title.text","JS","Título do gráfico de rosa dos ventos","station/static/station/js/chart-stations-wind.js"
"WMGT8","WMAT8","Frequency","Freqüência","","","chart.title.text","JS","Texto 'legenda' do gráfico de rosa dos ventos","station/static/station/js/chart-stations-wind.js"
"WMGT9","WMAT9","N","N","","","","JS","Ponto cardeal - Norte","station/static/station/js/chart-stations-wind.js"
"WMGT10","WMAT10","NE","NE","","","","JS","Ponto cardeal - Nordeste","station/static/station/js/chart-stations-wind.js"
"WMGT11","WMAT11","E","L","","","","JS","Ponto cardeal - Leste","station/static/station/js/chart-stations-wind.js"
"WMGT12","WMAT12","SE","SE","","","","JS","Ponto cardeal - Sudeste","station/static/station/js/chart-stations-wind.js"
"WMGT13","WMAT13","S","S","","","","JS","Ponto cardeal - Sul","station/static/station/js/chart-stations-wind.js"
"WMGT14","WMAT14","SW","SO","","","","JS","Ponto cardeal - Sudoeste","station/static/station/js/chart-stations-wind.js"
"WMGT15","WMAT15","W","O","","","","JS","Ponto cardeal - Oeste","station/static/station/js/chart-stations-wind.js"
"WMGT16","WMAT16","NW","NO","","","","JS","Ponto cardeal - Noroeste","station/static/station/js/chart-stations-wind.js"
"WMGT17","WMAT17","Calm","Calmo","","","","JS","Velocidade do vento - Calmo","station/static/station/js/chart-stations-wind.js"
"WMGT18","WMAT18","Weak","Fraco","","","","JS","Velocidade do vento - Fraco","station/static/station/js/chart-stations-wind.js"
"WMGT19","WMAT19","Weak to moderate","Fraco a moderado","","","","JS","Velocidade do vento - Fraco a moderado","station/static/station/js/chart-stations-wind.js"
"WMGT20","WMAT20","Moderate","Moderado","","","","JS","Velocidade do vento - Moderado","station/static/station/js/chart-stations-wind.js"
"WMGT21","WMAT21","Moderate to strong","Moderado a forte","","","","JS","Velocidade do vento - Moderado a forte","station/static/station/js/chart-stations-wind.js"
"WMGT22","WMAT22","Strong","Forte","","","","JS","Velocidade do vento - Forte","station/static/station/js/chart-stations-wind.js"
"WMGT23","WMAT23","Extreme","Extremo","","","","JS","Velocidade do vento - Extremo","station/static/station/js/chart-stations-wind.js"
"WMGT24","WMAT24","Elements by stations chart","Gráfico de elementos por estações","","","","HTML","Título da Página de Gráfico de Elementos por Estações","station/templates/station/content-chart-stations-elements.html"
"WMGT25","WMAT25","Chart","Gráfico","","","","HTML","Opção da Sidebar de Configuração de Gráfico","station/templates/station/content-chart-stations-elements.html"
"WMGT26","WMAT26","Line","Linha","","","","HTML","Opção da Sidebar de Configuração de Gráfico","station/templates/station/content-chart-stations-elements.html"
"WMGT27","WMAT27","Marker","Marcador","","","","HTML","Opção da Sidebar de Configuração de Gráfico","station/templates/station/content-chart-stations-elements.html"
"WMGT28","WMAT28","Solid","Sólida","","","","HTML","Opção de Tipo de Linha do Gráfico","station/templates/station/content-chart-stations-elements.html"
"WMGT29","WMAT29","Short dash","Traço curto","","","","HTML","Opção de Tipo de Linha do Gráfico","station/templates/station/content-chart-stations-elements.html"
"WMGT30","WMAT30","Short dot","Ponto curto","","","","HTML","Opção de Tipo de Linha do Gráfico","station/templates/station/content-chart-stations-elements.html"
"WMGT31","WMAT31","Short dash dot","Traço curto ponto","","","","HTML","Opção de Tipo de Linha do Gráfico","station/templates/station/content-chart-stations-elements.html"
"WMGT32","WMAT32","Short dash dot dot","Traço curto ponto ponto","","","","HTML","Opção de Tipo de Linha do Gráfico","station/templates/station/content-chart-stations-elements.html"
"WMGT33","WMAT33","Dot","Ponto","","","","HTML","Opção de Tipo de Linha do Gráfico","station/templates/station/content-chart-stations-elements.html"
"WMGT34","WMAT34","Dash","Traço","","","","HTML","Opção de Tipo de Linha do Gráfico","station/templates/station/content-chart-stations-elements.html"
"WMGT35","WMAT35","Long dash","Traço longo","","","","HTML","Opção de Tipo de Linha do Gráfico","station/templates/station/content-chart-stations-elements.html"
"WMGT36","WMAT36","Dash dot","Traço ponto","","","","HTML","Opção de Tipo de Linha do Gráfico","station/templates/station/content-chart-stations-elements.html"
"WMGT37","WMAT37","Long dash dot","Traço longo ponto","","","","HTML","Opção de Tipo de Linha do Gráfico","station/templates/station/content-chart-stations-elements.html"
"WMGT38","WMAT38","Long dash dot dot ","Traço longo ponto ponto ","","","","HTML","Opção de Tipo de Linha do Gráfico","station/templates/station/content-chart-stations-elements.html"
"WMGT39","WMAT39","Circle","Círculo ","","","","HTML","Opção de Tipo de Marcador do Gráfico","station/templates/station/content-chart-stations-elements.html"
"WMGT40","WMAT40","Square","Quadrado ","","","","HTML","Opção de Tipo de Marcador do Gráfico","station/templates/station/content-chart-stations-elements.html"
"WMGT41","WMAT41","Diamond","Diamante ","","","","HTML","Opção de Tipo de Marcador do Gráfico","station/templates/station/content-chart-stations-elements.html"
"WMGT42","WMAT42","Triangle","Triângulo ","","","","HTML","Opção de Tipo de Marcador do Gráfico","station/templates/station/content-chart-stations-elements.html"
"WMGT43","WMAT43","Triangle down","Triângulo invertido ","","","","HTML","Opção de Tipo de Marcador do Gráfico","station/templates/station/content-chart-stations-elements.html"
"WMGT44","WMAT44","Blank","Em branco ","","","","HTML","Opção de Tipo de Marcador do Gráfico","station/templates/station/content-chart-stations-elements.html"
"WMGT45","WMAT45","Image","Imagem","","","image_tag.short_description","Text","","common/models.py (class Image)"
"WMGT46","WMAT46","Logo","Logo","","","icon_thumbnail.short_description","Text","","common/models.py (class DashboardComponent)"
"WMGT47","WMAT47","Icon","Ícone","","","admin_icon.short_description","Text","","common/models.py (class Variable)"
"WMGT48","WMAT48","Background color","Cor de fundo","","","admin_color.short_description","Text","","common/models.py (class Variable e QualityFlag)"
"WMGT49","WMAT49","Imagem de perfil do usuário","User profile picture","","","photo_tumbnail.short_description","Text","","common/models.py (class UserExtend)"
"WMGT50","WMAT50","Login","Login","","","login_table.short_description","Text","","common/models.py (class UserExtend)"
"WMGT51","WMAT51","Font color","Cor da fonte","","","admin_font_color.short_description","Text","","common/models.py (class QualityFlag)"
"WMGT52","WMAT52","String","String","","","string_value","Choices","","common/models.py"
"WMGT53","WMAT53","Boolean","Booleano","","","boolean_value","Choices","","common/models.py"
"WMGT54","WMAT54","Integer","Inteiro","","","integer_value","Choices","","common/models.py"
"WMGT55","WMAT55","Float","Número flutuante","","","float_value","Choices","","common/models.py"
"WMGT56","WMAT56","Date","Data","","","date_value","Choices","","common/models.py"
"WMGT57","WMAT57","Time","Hora","","","time_value","Choices","","common/models.py"
"WMGT58","WMAT58","Datetime","Data e hora","","","datetime_value","Choices","","common/models.py"
"WMGT59","WMAT59","Home","Início","","","","HTML","Início do sistema","cemig/content-diagram-sin.html e cemig/content-management-powerplant.html"
"WMGT60","WMAT60","Management","Gerenciamento","","","","HTML","Título do gerenciamento","cemig/content-management-powerplant-form.html e cemig/content-management-powerplant.html"
"WMGT61","WMAT61","Powerplant","Usina","","","","HTML","Título para o breadcromb de usina","cemig/content-management-powerplant-form.html"
"WMGT62","WMAT62","Add new","Adicionar novo","","","","HTML","Botão de inclusão","cemig/content-management-powerplant-form.html e cemig/content-management-powerplant.html"
"WMGT63","WMAT63","Identification","Identificação","","","","HTML","Título de grupo - Identificação","cemig/content-management-powerplant-form.html"
"WMGT64","WMAT64","Location","Localização","","","","HTML","Título de grupo - Localização","cemig/content-management-powerplant-form.html"
"WMGT65","WMAT65","Capacity","Capacidade","","","","HTML","Título capacidade","cemig/content-management-powerplant-form.html"
"WMGT66","WMAT66","Productivity","Produtividade","","","","HTML","Título produtividade","cemig/content-management-powerplant-form.html"
"WMGT67","WMAT67","Level","Cotas","","","","HTML","Título de seção - Cotas","cemig/content-management-powerplant-form.html"
"WMGT68","WMAT68","Quedas","Quedas","","","","HTML","Título quedas","cemig/content-management-powerplant-form.html"
"WMGT69","WMAT69","PowerPlant view","Visualização de usina","","","","HTML","Título para tela de visualização de usinas","cemig/content-management-powerplant-form.html"
"WMGT70","WMAT70","Edit powerplant","Edição de usina","","","","HTML","Título para edição de usinas","cemig/content-management-powerplant-form.html"
"WMGT71","WMAT71","New powerplant","Nova usina","","","","HTML","Título para nova usina","cemig/content-management-powerplant-form.html"
"WMGT72","WMAT72","Back","Voltar","","","","HTML","Botão de voltar","cemig/content-management-powerplant-form.html"
"WMGT73","WMAT73","Save","Salvar","","","","HTML","Botão de gravação 1","cemig/content-management-powerplant-form.html"
"WMGT74","WMAT74","Cancel","Cancelar","","","","HTML","Botão de cancelar","cemig/content-management-powerplant-form.html e cemig/content-management-powerplant.html"
"WMGT75","WMAT75","Fields with * are required","Campos marcados com * são de preenchimento obrigatório","","","","HTML","Campos obrigatórios","cemig/content-management-powerplant-form.htmlstation/content-chart-stations-elements.html"
"WMGT76","WMAT76","Powerplant list","Lista de usinas","","","","HTML","Título para lista de usinas","cemig/content-management-powerplant.html"
"WMGT77","WMAT77","Confirm delete","Confirmar exclusão","","","","HTML","Confirmar exclusão","cemig/content-management-powerplant.html"
"WMGT78","WMAT78","Do you really confirm to delete the power plant?","Deseja realmente excluir a usina?","","","","HTML","Confirmação de exclusão de usina","cemig/content-management-powerplant.html"
"WMGT79","WMAT79","View","Visualizar","","","","HTML","Botão de visualização","cemig/content-management-powerplant.html"
"WMGT80","WMAT80","Edit","Editar","","","","HTML","Botão de edição","cemig/content-management-powerplant.html"
"WMGT81","WMAT81","Delete","Excluir","","","","HTML","Botão de exclusão","cemig/content-management-powerplant.html"
"WMGT82","WMAT82","Confirm","Confirmar","","","","HTML","Botão de confirmar","cemig/content-management-powerplant.html"
"WMGT83","WMAT83","View reservoir","Visualização de reservatório","","","","HTML","Título para tela de visualização de reservatórios","cemig/content-management-reservoir.html"
"WMGT84","WMAT84","Edit reservoir","Edição de reservatório","","","","HTML","Título para tela de edição de reservatórios","cemig/content-management-reservoir.html"
"WMGT85","WMAT85","New reservoir","Novo reservatório","","","","HTML","Título para novo reservatório","cemig/content-management-reservoir.html"
"WMGT86","WMAT86","Reservoir","Reservatório","","","","HTML","Título para o breadcromb de reservatório","cemig/content-management-reservoir.html"
"WMGT87","WMAT87","Element page","Página de elementos","","","","HTML","Título da página de Elemento (Element List)","common/content-management-new-element.htm"
"WMGT88","WMAT88","Maps","Mapas","","","","HTML","Título de menu para Mapas","common/content-map.py"
"WMGT89","WMAT89","Lightning","Raios","","","","HTML","Título de menu para raios","common/content-map.py"
"WMGT90","WMAT90","Real time","Tempo real","","","","HTML","Título ou subtítulo para raios","common/content-map.py"
"WMGT91","WMAT91","Stations","Estações","","","","HTML","Título para Estações (mapa de estações)","common/content-report.html"
"WMGT92","WMAT92","Page reports","Página de relatórios","","","","HTML","Título da página de relatórios (page reports)","common/content-report.html"
"WMGT93","WMAT93","Reports","Relatórios","","","","HTML","Título que aparece no Breadcromb para Relatórios/Reports","common/content-report.html common/sidebar.html"
"WMGT94","WMAT94","User profile","Perfil de usuário","","","","HTML","Texto do tÍtulo da tela de Perfil de Usuário e breadcrumb","common/content-user-profile.html"
"WMGT95","WMAT95","Adjust picture","Ajustar foto","","","","HTML","Botão para ajustar a foto de perfil","common/content-user-profile.html"
"WMGT96","WMAT96","Change picture","Mudar foto","","","","HTML","Botão para trocar foto de perfil","common/content-user-profile.html"
"WMGT97","WMAT97","Logged since","Logado desde","","","","HTML","Texto 'logado desde'","common/content-user-profile.html"
"WMGT98","WMAT98","All rights reserved","Todos os direitos reservados","","","","HTML","Mensagem geral para 'todos os direitos reservados' ; 'all rights reserved'","common/footer.html"
"WMGT99","WMAT99","Database","Banco de dados","","","","HTML","Título da página de Database (database page); este título também aparece no breadcromb","common/footer.html"
"WMGT100","WMAT100","Volumes","Volumes","","","","HTML","Título de seção – Volumes","cemig/content-management-reservoir-form.html"
"WMGT101","WMAT101","Chart of the station","Gráfico de estação","","","","HTML","Título da tela - Gráfico de estação","station/content-chat-station-elements.html"
"WMGT102","WMAT102","Query","Consultar","","","","HTML","Botão para relatórios","station/content-chat-station-elements.html"
"WMGT103","WMAT103","PNG","PNG","","","","HTML","Botão para download ou exportação de gráficos em PNG","station/content-chat-station-elements.html"
"WMGT104","WMAT104","SVG","SVG","","","","HTML","Botão para download ou exportação de gráficos em SVG","station/content-chat-station-elements.html"
"WMGT105","WMAT105","PDF","PDF","","","","HTML","Botão de exportar para arquivo PDF","station/content-chat-station-elements.html"
"WMGT106","WMAT106","Áreas","Áreas","","","","HTML","Título de seção – Áreas","cemig/content-management-reservoir-form.html"
"WMGT107","WMAT107","Vazões","Vazões","","","","HTML","Título de seção - Vazões","cemig/content-management-reservoir-form.html"
"WMGT108","WMAT108","Operation","Operação","","","","HTML","Título de seção - Operação","cemig/content-management-reservoir-form.html"
"WMGT109","WMAT109","Reservoir list","Lista de reservatórios","","","","HTML","Título para lista de reservatórios","cemig/content-management-reservoir-form.html"
"WMGT110","WMAT110","Page charts","Página de gráficos","","","","HTML","Título da página de gráficos","common/content-chart.html"
"WMGT111","WMAT111","Charts","Gráficos","","","","HTML","Título para breadcromb para gráficos","common/content-chart.html"
"WMGT112","WMAT112","Meteogram","Meteograma","","","","HTML","","common/content-chart.html"
"WMGT113","WMAT113","Measured data","Dados medidos","","","","HTML","Texto que vai logo abaixo do título de Estações (ver NM49) no mesmo botão para o relatórios de dados medidos ;","common/content-chart.html"
"WMGT114","WMAT114","Summarized data","Dados sumarizados","","","","HTML","Texto que vai logo abaixo do título de Estações (ver NM49) no mesmo botão para o relatórios de dados sumarizados;","common/content-chart.html"
"WMGT115","WMAT115","More info","Mais informações","","","","HTML","Mensagem ou texto que está na parte inferior do botão Elements e em outros botões 'grandes' que aparecem no menu principal","common/content-chart.html"
"WMGT116","WMAT116","Page dashboard","Página do painel principal","","","","HTML","Título da página do Dashboard","common/content-dashboard-main.html"
"WMGT117","WMAT117","Dashboard","Painel principal","","","","HTML","Título do menu de Dashboard; é o primeiro item do menu esquerdo ; este é o texto que aparece no Breadcromb","common/content-dashboard-main.html"
"WMGT118","WMAT118","Element list","Lista de elementos","","","","HTML","Título da lista de Elementos (element list)","common/content-management-element.html"
"WMGT119","WMAT119","Element","Elemento","","","","HTML e JS","Título que aparece no breadcromb para elementos e Título da coluna de relatório de extremos","common/content-management-element.html e station/static/station/js/cdms-ExtremesApp.js"
"WMGT120","WMAT120","Do you really want to delete the element?","Deseja realmente excluir o elemento?","","","","HTML","","common/content-management-element.html"
"WMGT121","WMAT121","Management page","Página de gerenciamento","","","","HTML","Título da página de Gerenciamento","common/content-management.html"
"WMGT122","WMAT122","Station","Estação","","","","HTML e JS","Titulo do botão grande para estação e Título da coluna de relatório de extremos","common/content-management.html e station/static/station/js/cdms-ExtremesApp.js"
"WMGT123","WMAT123","Elements","Elementos","","","","HTML","Título do botão grande Elements na tela logo após clicar no menu do lado esquerdo","common/content-management.html"
"WMGT124","WMAT124","Reservoirs","Reservatórios","","","","HTML","Título do 'botão grande' para Reservatórios","common/content-management.html"
"WMGT125","WMAT125","Powerplants","Usinas","","","","HTML","Título do 'botão grande' para Usinas","common/content-management.html"
"WMGT126","WMAT126","Print","Imprimir","","","","HTML","Botão de Impressão de gráfico","station/content-chart-station-elements.html"
"WMGT127","WMAT127","Error","Erro","","","","HTML","","station/content-chart-station-elements.html"
"WMGT128","WMAT128","Heatmap","Mapa de calor","","","","","",""
"WMGT129","WMAT129","Heatmap chart","Gráfico de mapa de calor","","","","","",""
"WMGT130","WMAT130","Report of summary data of the Stations","Relatório de dados sumarizados das estações","","","","","Título para página de Relatório de Dados Sumarizados das Estações","station/templates/station"
"WMGT131","WMAT131","All","Todas","","","","","Texto para utilização em Selects ou expressões que precisma dizer a palavra 'Todas'","station/templates/station"
"WMGT132","WMAT132","Of the","Da","","","","","Para formar frases","station/templates/station"
"WMGT133","WMAT133","Delayed","Atrasado","","","","","texto para tela de Dashboard","station/templates/station"
"WMGT134","WMAT134","Change station","Alteração de Estação","","","","","","station/templates/station"
"WMGT135","WMAT135","Database page","Página do banco de dados","","","","","","station/templates/station"
"WMGT136","WMAT136","Settings","Configurações","","","","","título de settings","station/templates/station"
"WMGT137","WMAT137","Elements associated to a station","Elementos associados a estação","","","","","","station/templates/station"
"WMGT138","WMAT138","Alert!","Atenção!","","","","","","station/templates/station"
"WMGT139","WMAT139","From","De","","","","","","station/templates/station"
"WMGT140","WMAT140","Of","De","","","","","preposição 'de'","station/templates/station"
"WMGT141","WMAT141","Data","Dados","","","","","","station/templates/station"
"WMGT142","WMAT142","Parameters","Parâmetros","","","","","","station/templates/station"
"WMGT143","WMAT143","Parameters of display","Parâmetros de visualização","","","","","","station/templates/station"
"WMGT144","WMAT144","Temporarily disable display","Desabilitar as visualizações temporariamente","","","","","","station/templates/station"
"WMGT145","WMAT145","View station","Visualizar estação","","","","","","station/templates/station"
"WMGT146","WMAT146","Edit station","Editar estação","","","","","Título para EditStation (este título aparece no topo da tela de visualização de estação)","station/templates/station"
"WMGT147","WMAT147","New station","Incluir estação","","","","","","station/templates/station"
"WMGT148","WMAT148","Previous","Anterior","","","","","",""
"WMGT149","WMAT149","First","Primeiro","","","","","",""
"WMGT150","WMAT150","Image title","Título da imagem","","","","","",""
"WMGT151","WMAT151","Station list","Lista de estações","","","","","",""
"WMGT152","WMAT152","View station","Consultar estação","","","","","",""
"WMGT153","WMAT153","Do you really want to delete the station?","Deseja realmente excluir a estação?","","","","","",""
"WMGT154","WMAT154","Maps page","Página de mapas","","","","","",""
"WMGT155","WMAT155","Report of elements by station","Relatório de elementos por estação","","","","","Título da tela - Relatório de elementos por estação",""
"WMGT156","WMAT156","Report","Relatório","","","","","Palavra 'relatório'",""
"WMGT157","WMAT157","For","Para","","","","","preposição 'para'",""
"WMGT158","WMAT158","Generated on","Gerado em","","","","","",""
"WMGT159","WMAT159","It was found","Foram encontrados","","","","","",""
"WMGT160","WMAT160","Record(s) to the query with the parameters:","Registro(s) para a consulta com os parâmetros:","","","","","",""
"WMGT161","WMAT161","Time res.:","Resol. temp.:","","","","","Título abreviado para resolução temporal",""
"WMGT162","WMAT162","Interval analyzed","Período analisado","","","","","",""
"WMGT163","WMAT163","To","Até","","","","","preposição 'até'",""
"WMGT164","WMAT164","Elements report by stations","Relatório de elementos por estações","","","","","",""
"WMGT165","WMAT165","Report of measured data of the stations","Relatório de dados medidos das estações","","","","","",""
"WMGT166","WMAT166","Station code","Código da estação","","","","JS","Título de coluna de relatório de extremos","common/static/common/js/cdms-datatable-list.js"
"WMGT167","WMAT167","Minimum","Mínimo","","","","JS","Título de coluna de relatório de extremos","common/static/common/js/cdms-datatable-list.js"
"WMGT168","WMAT168","Date/time of minimum","Data/hora do mínimo","","","","JS","Título de coluna de relatório de extremos","common/static/common/js/cdms-datatable-list.js"
"WMGT169","WMAT169","Time resolution","Resolução temporal","","","","JS","Título de coluna de relatório de extremos","common/static/common/js/cdms-datatable-list.js"
"WMGT170","WMAT170","Extremes report","Relatório de extremos","","","","HTML","Título da Tabela de relatório de extremos","station/templates/station/content-report-extremes-by-station.html e station/templates/station/content-report-extremes-by-element.html"
"WMGT171","WMAT171","Extremes report by station","Relatório de extremos por estação","","","","HTML","Título da Página de Relatório de Extremos por Estação","station/templates/station/content-report-extremes-by-station.html"
"WMGT172","WMAT172","Successfully deleted","Excluída com sucesso","","","","","","station/templates"
"WMGT173","WMAT173","Successfully added","Adicionada com sucesso","","","","","",""
"WMGT174","WMAT174","Successfully edited","Alterada com sucesso","","","","","",""
"WMGT175","WMAT175","Successfully","Com sucesso","","","","","",""
"WMGT176","WMAT176","Decendial","Decêndio","","","","","",""
"WMGT177","WMAT177","Month","Mês","","","","","",""
"WMGT178","WMAT178","Year","Ano","","","","","",""
"WMGT179","WMAT179","Displaying","Mostrando","","","","","",""
"WMGT180","WMAT180","Row(s)","Registro(s)","","","","","",""
"WMGT181","WMAT181","Filtered from","Filtrados de","","","","","",""
"WMGT182","WMAT182","All","Todos","","","","","",""
"WMGT183","WMAT183","Zoom name","Nome do zoom","","","","","",""
"WMGT184","WMAT184","2.5D","2.5D","","","","","",""
"WMGT185","WMAT185","2D","2D","","","","","",""
"WMGT186","WMAT186","3D","3D","","","","","",""
"WMGT187","WMAT187","Extremes report by element","Relatório de extremos por elemento","","","","HTML","Título da Página de Relatório de Extremos por Estação","station/templates/station/content-report-extremes-by-element.html"
"WMGT188","WMAT188","Maximum","Maximum","","","","JS","Título de coluna de relatório de extremos","common/static/common/js/cdms-datatable-list.js"
"WMGT189","WMAT189","Date/Time of maximum","Data/Hora do máximo","","","","JS","Título de coluna de relatório de extremos","common/static/common/js/cdms-datatable-list.js"
"WMGT190","WMAT190","Extremes","Extremos","","","","HTML","Título de relatório de extremos no dashboard","common/templates/common/content-report.html"
"WMGT191","WMAT191","By station","Por estação","","","","HTML","Título de relatório de extremos por estação no dashboard","common/templates/common/content-report.html"
"WMGT192","WMAT192","By element","Por elemento","","","","HTML","Título de relatório de extremos por elemento no dashboard","common/templates/common/content-report.html"
"WMGT193","WMAT193","Organization","Instituição","","","","JS","Título de coluna de relatório de extremos","common/static/common/js/cdms-datatable-list.js"
"WMGT194","WMAT194","Station type","Tipo de estação","","","","JS","Título de coluna de relatório de extremos","common/static/common/js/cdms-datatable-list.js"
"WMGT195","WMAT195","Processing","Processando","","","","","",""
"WMGT196","WMAT196","Search","Buscar","","","","","",""
"WMGT197","WMAT197","Display","Mostrar","","","","","",""
"WMGT198","WMAT198","Loading","Carregando","","","","","",""
"WMGT199","WMAT199","Next","Próximo","","","","","",""
"WMGT200","WMAT200","Last","Último","","","","","",""
"WMGT201","WMAT201","Ascending order","Ordenar de forma ascendente","","","","","","common/js/cdms-datatable"
"WMGT202","WMAT202","Descending order","Ordenar de forma descendente","","","","","","common/js/cdms-datatable"
"WMGT203","WMAT203","Copy","Copiar","","","","","Botão de copiar","common/js/cdms-datatable"
"WMGT204","WMAT204","CSV","CSV","","","","","Botão de exportar para csv",""
"WMGT205","WMAT205","Ampacity project","Projeto ampacidade","","","","HTML","","ampacity/templates/content-estimated-ampacity"
"WMGT206","WMAT206","Ampacity","Ampacidade","","","","HTML","class active","ampacity/templates/content-estimated-ampacity"
"WMGT207","WMAT207","Change password","Trocar a senha","","","","","",""
"WMGT208","WMAT208","Measured data meteogram","Meteograma de dados medidos","","","","HTML","","station/templates/station/content-chart-stations-elements-measured.html"
"WMGT209","WMAT209","Summarized data meteogram","Meteogram de dados sumarizados","","","","HTML","","station/templates/station/content-chart-stations-elements-summarized.html"
"WMGT210","WMAT210","Overlays","Sobreposições","","","","","",""
"WMGT211","WMAT211","Layers","Camadas","","","","","",""
"WMGT212","WMAT212","Selected","Selecionados","","","","","",""
"WMGT213","WMAT213","Options","Opções","","","","","",""
"WMGT214","WMAT214","Select all","Selecionar tudo","","","","","",""
"WMGT215","WMAT215","Minimum value notification","Notificação de valor mínimo","","","","","",""
"WMGT216","WMAT216","Maximum value notification","Notificação de valor máximo","","","","","",""
"WMGT217","WMAT217","Elements grouped by station","Elementos agrupados por estação","","","","","",""
"WMGT218","WMAT218","Stations grouped by element","Estações agrupadas por elemento","","","","","",""
"WMGT219","WMAT219","Alphanumeric element","Elemento alfanumérico","","","","","",""
